idade,numero_de_amigos,basquete,futebol_americano,futebol,softbol,voleibol,natacao,animacao,beisebol,tenis,esportes,fofo,danca,banda,marcha,musica,rock,cabelo,vestido,shopping,compras,roupas,nossa_marca,marca_concorrente,bebidas,sexo
26,28,2,3,2,0,1,1,1,1,0,1,2,3,3,0,7,2,3,1,3,3,1,1,0,1,F
25,31,2,1,2,1,1,1,1,1,1,1,4,3,3,0,8,3,4,1,1,3,1,1,0,1,F
28,23,3,2,2,0,2,1,1,1,1,1,3,2,3,0,6,3,4,1,3,2,2,1,0,1,F
26,34,2,2,2,1,1,0,1,1,1,2,5,5,2,0,8,3,3,1,3,7,1,0,0,0,M
27,37,2,4,2,0,1,1,1,1,1,1,3,8,2,0,8,4,4,2,3,3,2,0,0,0,NE
29,27,2,4,2,1,1,1,1,0,0,1,5,4,3,0,7,1,5,1,1,2,1,1,0,0,M
26,25,3,3,2,0,1,1,1,0,1,1,4,4,3,0,7,3,4,1,2,5,2,0,0,0,F
26,24,2,4,2,1,1,0,1,0,1,2,4,2,2,0,7,3,3,1,3,5,2,1,0,1,NE
28,30,2,3,2,0,1,1,1,0,1,1,2,4,3,0,7,2,2,0,2,3,1,0,0,1,M
26,34,3,2,2,0,1,1,1,1,0,1,3,4,2,0,9,2,3,1,3,0,2,1,0,0,M
26,26,2,3,2,1,1,2,1,1,0,1,4,4,2,0,7,4,4,1,4,6,2,0,0,0,M
27,32,3,3,2,1,1,1,1,0,1,2,3,4,3,0,10,3,4,1,5,4,2,0,0,0,M
26,23,3,5,2,0,0,2,1,0,0,1,3,5,3,0,6,5,4,1,1,6,2,0,0,0,F
27,24,3,5,2,1,1,1,1,1,1,0,3,4,2,0,9,3,3,1,4,5,1,1,0,1,F
27,15,2,3,2,0,0,1,1,0,0,1,4,1,2,0,6,2,3,1,2,8,1,0,0,1,F
25,27,2,4,2,0,1,1,1,1,0,1,4,4,2,0,6,3,2,1,2,1,1,0,0,0,F
28,33,2,3,2,1,1,1,1,1,1,1,4,4,3,0,9,1,3,0,2,4,1,1,0,1,F
28,27,3,2,2,1,0,1,1,0,1,1,4,7,3,0,6,3,3,1,1,4,2,1,0,1,M
26,40,2,4,2,1,1,1,1,0,1,0,4,3,2,0,10,3,4,1,2,4,1,1,0,0,F
27,33,2,3,2,0,1,0,1,0,1,2,2,5,3,0,7,3,3,1,3,2,1,0,0,0,M
